Year,ComHL,ComTrawl,ComNet,Mexico,Total,Source
1916,3.6352,0,0,0,3.6352,CDFG Bulletins
1917,7.904,0,0,0,7.904,CDFG Bulletins
1918,12.8083,0,0,0,12.8083,CDFG Bulletins
1919,11.536,0,0,0,11.536,CDFG Bulletins
1920,16.1817,0,0,0,16.1817,CDFG Bulletins
1921,26.4812,0,0,0,26.4812,CDFG Bulletins
1922,19.1061,0,0,0,19.1061,CDFG Bulletins
1923,27.4274,0,0,0,27.4274,CDFG Bulletins
1924,49.4742,0,0,0,49.4742,CDFG Bulletins
1925,101.2,0,0,0,101.2,CDFG Bulletins
1926,49.0196,0,0,0,49.0196,CDFG Bulletins
1927,51.4641,0,0,0,51.4641,CDFG Bulletins
1928,44.0368,0,0,0,44.0368,CDFG Bulletins
1929,48.8967,0,0,0,48.8967,CDFG Bulletins
1930,40.1935,0,0,0,40.1935,CDFG Bulletins
1931,41.5375,0,0,0.052,41.5375,CDFG Bulletins
1932,38.7842,0,0,0,38.7842,CDFG Bulletins
1933,29.103,0,0,0,29.103,CDFG Bulletins
1934,29.9099,0,0,0,29.9099,CDFG Bulletins
1935,30.7577,0,0,0.79,30.7577,CDFG Bulletins
1936,49.7468,0,0,0.338,49.7468,CDFG Bulletins
1937,62.1949,0,0,0.09,62.1949,CDFG Bulletins
1938,70.435,0,0,0.048,70.435,CDFG Bulletins
1939,58.2876,0,0,0.058,58.2876,CDFG Bulletins
1940,55.3714,0,0,0.028,55.3714,CDFG Bulletins
1941,43.0739,0,0,0.144,43.0739,CDFG Bulletins
1942,20.0001,0,0,0.109,20.0001,CDFG Bulletins
1943,16.3219,0,0,2.979,16.3219,CDFG Bulletins
1944,24.0326,0,0,1.945,24.0326,CDFG Bulletins
1945,42.1263,0,0,0.81,42.1263,CDFG Bulletins
1946,65.6318,0,0,0.165,65.6318,CDFG Bulletins
1947,56.7925,0,0,0.836,56.7925,CDFG Bulletins
1948,70.166,0,0,0.176,70.166,CDFG Bulletins
1949,66.7168,0,0,0.582,66.7168,CDFG Bulletins
1950,63.1629,0,0,0.125,63.1629,CDFG Bulletins
1951,45.8531,0,0,0.159,45.8531,CDFG Bulletins
1952,37.9255,0,0,0,37.9255,CDFG Bulletins
1953,54.168,0,0,0.054,54.168,CDFG Bulletins
1954,60.9171,0,0,0,60.9171,CDFG Bulletins
1955,47.7069,0,0,1.293,47.7069,CDFG Bulletins
1956,45.4652,0,0,0,45.4652,CDFG Bulletins
1957,33.2344,0,0,0,33.2344,CDFG Bulletins
1958,29.4259,0,0,0,29.4259,CDFG Bulletins
1959,16.9383,0,0,0,16.9383,CDFG Bulletins
1960,13.2465,0,0,0,13.2465,CDFG Bulletins
1961,12.1193,0,0,0,12.1193,CDFG Bulletins
1962,26.1759,0,0,0.111,26.1759,CDFG Bulletins
1963,34.1148,0,0,0.142,34.1148,CDFG Bulletins
1964,35.1926,0,0,7.548,35.1926,CDFG Bulletins
1965,34.7811,0,0,2.748,34.7811,CDFG Bulletins
1966,38.3133,0,0,10.902,38.3133,CDFG Bulletins
1967,25.422,0,0,12.071,25.422,CDFG Bulletins
1968,40.6026,0,0,16.176,40.6026,CDFG Bulletins
1969,33.28328692,0.280774011,0.095254511,18.71751141,33.65931544,CFIS
1970,34.45083506,0,0.164200633,35.67417514,34.61503569,CFIS
1971,17.75770881,0,0.626411808,40.40832434,18.38412062,CFIS
1972,27.83745044,0.108408705,0.129727572,31.80593481,28.07558672,CFIS
1973,16.79609184,0.172365306,0.238136277,54.85117617,17.20659342,CFIS
1974,37.94395406,0,0.056245521,33.59173009,38.00019958,CFIS
1975,41.95099382,0.024040424,3.032722192,33.64480046,45.00775644,CFIS
1976,15.41354066,0.063503007,0.012700601,63.2866435,15.48974427,CFIS
1977,5.74656857,0,0.133356315,47.06978981,5.879924885,CFIS
1978,8.986129129,0.002721557,1.260988288,21.61642369,10.24983897,CFIS
1979,8.396458347,0.002721557,0.969328047,5.433135869,9.368507951,CFIS
1980,14.46553147,0,0.562455208,11.72492312,15.02798668,CFIS
1981,15.48067241,0.006350301,5.925737769,4.092315229,21.41276048,CFIS
1982,17.94549628,0,1.34082064,8.457693389,19.28631692,CFIS
1983,10.91027025,0,0.833250175,2.309695095,11.74352043,CFIS
1984,9.891046983,0.150139253,1.06639693,0.084368281,11.10758317,CFIS
1985,12.730085,0.024040424,2.483874772,0,15.2380002,CFIS
1986,4.756828841,0.022679645,1.762662046,0.106594334,6.542170532,CFIS
1987,7.459788989,0.111583856,3.985720895,0,11.55709374,CFIS
1988,7.770500132,0.002721557,3.649154956,0,11.42237665,CFIS
1989,15.87257668,0.021318867,2.80002903,0,18.69392458,CFIS
1990,32.0685651,0.77791184,6.165234825,0,39.01171177,CFIS
1991,20.11548475,4.800373761,3.287187815,0,28.20304633,CFIS
1992,27.71316599,3.939908011,3.329825548,0,34.98289955,CFIS
1993,13.71755677,7.759613902,4.660213552,0.222714119,26.13738422,CFIS
1994,34.85090401,13.08479466,1.920965971,0,49.85666464,CFIS
1995,23.69342562,16.20460669,0.976131941,0.127006015,40.87416425,CFIS
1996,20.17127668,12.9668605,1.192495759,0,34.33063294,CFIS
1997,20.21708957,13.27575727,3.81653074,0,37.30937758,CFIS
1998,32.3375457,16.79609184,1.591203926,0,50.72484147,CFIS
1999,30.88151246,6.5634894,1.775362648,0,39.22036451,CFIS
2000,11.73580935,4.570402155,1.997623173,0,18.30383468,CFIS
2001,14.18339669,2.975115893,2.637642768,0,19.79615535,CFIS
2002,10.08654553,2.162277399,1.182516715,0,13.43133964,CFIS
2003,2.134608232,2.747412252,0.354709655,0,5.236730139,CFIS
2004,1.996715987,2.355961572,0.624143843,0,4.976821402,CFIS
2005,1.47326977,3.122533589,0.695811523,0,5.291614882,CFIS
2006,0.858651378,1.383911967,0.440892308,0,2.683455653,CFIS
2007,1.896925547,1.477805699,0.211827889,0,3.586559135,CFIS
2008,2.463463091,0.864094492,0.278506046,0,3.606063629,CFIS
2009,2.970126371,0.272609339,0.133809908,0,3.376545618,CFIS
2010,2.992806016,0.183705128,0.143788952,0,3.320300096,CFIS
2011,3.241828524,1.053242736,0.241765021,0,4.536836281,CFIS
2012,3.219602471,0.425923742,0.17780842,0,3.823334633,CFIS
2013,1.729549764,0.829621431,0.137438652,0,2.696609847,CFIS
2014,1.025119975,0.128366793,0.036287433,0,1.189774201,CFIS
2015,2.211265433,0.125645236,0.034473061,0,2.37138373,CFIS
2016,2.316952581,0.131088351,0.003628743,0,2.451669675,CFIS
