Year,RecPR,RecPC,RecDD,ComHL,ComTrawl,ComNet,Northern,Southern,Mexico
1916,0,0,0,3.6352,0,0,0,3.635,0
1917,0,0,0,7.904,0,0,0,7.904,0
1918,0,0,0,12.8083,0,0,0,12.808,0
1919,0,0,0,11.536,0,0,0,11.536,0
1920,0,0,0,16.1817,0,0,0,16.181,0
1921,0,0,0,26.4812,0,0,0,26.481,0
1922,0,0,0,19.1061,0,0,0,19.106,0
1923,0,0,0,27.4274,0,0,0,27.427,0
1924,0,0,0,49.4742,0,0,0,49.473,0
1925,0,0,0,101.2,0,0,0,101.198,0
1926,0,0,0,49.0196,0,0,0,49.019,0
1927,0,0,0,51.4641,0,0,0,51.463,0
1928,0,0,0,44.0368,0,0,0,44.036,0
1929,0.060372,0.54071,0.004,48.8967,0,0,0,48.896,0
1930,0.120741,1.081421,0.007,40.1935,0,0,0,40.193,0
1931,0.181108,1.622131,0.011,41.5375,0,0,0,41.537,0.052
1932,0.241471,2.162841,0.015,38.7842,0,0,0,38.784,0
1933,0.30183,2.703551,0.019,29.103,0,0,0,29.103,0
1934,0.362186,3.244262,0.022,29.9099,0,0,0,29.909,0
1935,0.422537,3.784972,0.026,30.7577,0,0,0,30.757,0.79
1936,0.482885,4.325682,0.03,49.7468,0,0,0,49.746,0.338
1937,0.335967,3.009688,0.021,62.1949,0,0,0,62.194,0.09
1938,0.564591,5.057904,0.035,70.435,0,0,0,70.434,0.048
1939,0.4353,3.899754,0.027,58.2876,0,0,0,58.287,0.058
1940,0.403476,3.614757,0.025,55.3714,0,0,0,55.371,0.028
1941,0,0,0,43.0739,0,0,0,43.073,0.144
1942,0,0,0,20.0001,0,0,0,20,0.109
1943,0,0,0,16.3219,0,0,0,16.322,2.979
1944,0,0,0,24.0326,0,0,0,24.032,1.945
1945,0,0,0,42.1263,0,0,0,42.126,0.81
1946,0,0,0,65.6318,0,0,0,65.631,0.165
1947,1.757774,15.730551,0.109,56.7925,0,0,0,56.792,0.836
1948,3.651659,32.67312,0.226,70.166,0,0,0,70.165,0.176
1949,2.583265,23.117283,0.16,66.7168,0,0,0,66.716,0.582
1950,3.384673,30.293556,0.21,63.1629,0,0,0,63.162,0.125
1951,2.105208,18.844842,0.13,45.8531,0,0,0,45.852,0.159
1952,2.28751,20.479657,0.142,37.9255,0,0,0,37.925,0
1953,1.925097,17.236961,0.119,54.168,0,0,0,54.167,0.054
1954,2.263154,20.266066,0.14,60.9171,0,0,0,60.916,0
1955,1.934825,17.327784,0.12,47.7069,0,0,0,47.706,1.293
1956,1.7038,15.260777,0.106,45.4652,0,0,0,45.465,0
1957,0.94214,8.439653,0.058,33.2344,0,0,0,33.234,0
1958,0.960562,8.604387,0.06,29.4259,0,0,0,29.425,0
1959,0.802439,7.188801,0.05,16.9383,0,0,0,16.938,0
1960,1.056389,9.465014,0.066,13.2465,0,0,0,13.246,0
1961,1.86442,16.706429,0.116,12.1193,0,0,0,12.119,0
1962,2.32845,20.866751,0.144,26.1759,0,0,0,26.175,0.111
1963,3.765955,33.752975,0.234,34.1148,0,0,0,34.114,0.142
1964,5.160104,46.253358,0.32,35.1926,0,0,0,35.192,7.548
1965,5.023132,45.028186,0.312,34.7811,0,0,0,34.781,2.748
1966,6.436606,43.735367,0.313,38.3133,0,0,0,38.313,10.902
1967,7.338277,39.636429,0.294,25.422,0,0,0,25.422,12.071
1968,8.463738,37.496137,0.288,40.6026,0,0,0,40.602,16.176
1969,10.622746,39.467937,0.315,33.28328692,0.280774011,0.095254511,0,33.65931544,18.71751141
1970,16.320684,51.68896,0.428,34.45083506,0,0.164200633,0,34.6150357,35.67417514
1971,19.459349,53.186601,0.458,17.75770881,0,0.626411808,0,18.38412062,40.40832434
1972,15.799447,37.622663,0.337,27.83745044,0.108408705,0.129727572,0,28.07558672,31.80593481
1973,25.014992,52.280249,0.488,16.79609184,0.172365306,0.238136277,0,17.20659343,54.85117617
1974,29.181925,53.8399,0.525,37.94395406,0,0.056245521,0,38.00019958,33.59173009
1975,31.188674,51.00998,0.52,41.95099382,0.024040424,3.032722192,0,45.00775644,33.64480046
1976,20.439748,29.745486,0.318,15.41354066,0.063503007,0.012700601,0,15.48974426,63.2866435
1977,35.194001,45.686496,0.513,5.74656857,0,0.133356315,0,5.879924885,47.06978981
1978,23.819203,27.62837,0.327,8.986129129,0.002721557,1.260988288,0,10.24983897,21.61642369
1979,49.764862,40.229597,0.576,8.396458347,0.002721557,0.969328047,0,9.368507951,5.433135869
1980,53.268243,52.353649,3.724,14.46553147,0,0.562455208,0,15.02798668,11.72492312
1981,41.079929,44.421921,2.855,15.48067241,0.006350301,5.925737769,0,21.41276048,4.092315229
1982,49.042593,40.918826,2.813,17.94549628,0,1.34082064,0.016329345,19.28631692,8.457693389
1983,12.652045,35.558528,0.927,10.91027025,0,0.833250175,0,11.74352043,2.309695095
1984,27.060782,31.248976,0.956,9.891046983,0.150139253,1.06639693,0,11.10758317,0.084368281
1985,28.772801,39.926369,1.711,12.730085,0.024040424,2.483874772,0,15.2380002,0
1986,24.072025,42.530317,3.188,4.756828841,0.022679645,1.762662046,0,6.542170533,0.106594334
1987,23.045986,31.780508,3.025,7.459788989,0.111583856,3.985720895,0,11.55709374,0
1988,106.56433,76.880268,5.892,7.770500132,0.002721557,3.649154956,0,11.42237665,0
1989,56.786136,79.319399,7.899,15.87257668,0.021318867,2.80002903,0.228157233,18.69392458,0
1990,95.630313,92.268027,1.161,32.0685651,0.77791184,6.165234825,0,39.01171177,0
1991,107.404715,103.628451,1.304,20.11548475,4.800373761,3.287187815,0.008618265,28.20304633,0
1992,31.906881,44.096388,3.595,27.71316599,3.939908011,3.329825548,0,34.98289955,0
1993,23.31273,43.49427,2.259,13.71755677,7.759613902,4.660213552,0,26.13738422,0.222714119
1994,45.618769,54.402525,6.424,34.85090401,13.08479466,1.920965971,0.220899747,49.85666464,0
1995,28.437356,57.032399,6.208,23.69342562,16.20460669,0.976131941,0.020411681,40.87416426,0.127006015
1996,30.455473,67.480891,3.998,20.17127668,12.9668605,1.192495759,0.127459608,34.33063294,0
1997,24.39062,77.233001,2.621,20.21708957,13.27575727,3.81653074,0.011339823,37.30937758,0
1998,32.124993,75.910954,2.076,32.3375457,16.79609184,1.591203926,0.008618265,50.72484147,0
1999,50.108455,132.497565,2.828,30.88151246,6.5634894,1.775362648,0.006803894,39.22036451,0
2000,35.858718,109.63634,4.972,11.73580935,4.570402155,1.997623173,0.268073409,18.30383467,0
2001,56.198533,114.900411,8.329,14.18339669,2.975115893,2.637642768,0.096161697,19.79615535,0
2002,43.385989,61.567499,9.196,10.08654553,2.162277399,1.182516715,0.000907186,13.43133964,0
2003,31.492041,58.464378,9.559,2.134608232,2.747412252,0.354709655,0,5.236730139,0
2004,5.293999,42.417251,4.525,1.996715987,2.355961572,0.624143843,0,4.976821402,0
2005,21.338059,57.148695,5.041,1.47326977,3.122533589,0.695811523,0,5.291614881,0
2006,14.441387,129.579888,3.311,0.858651378,1.383911967,0.440892308,0,2.683455652,0
2007,14.236919,118.866819,2.89,1.896925547,1.477805699,0.211827889,0,3.586559135,0
2008,8.377598,89.654396,2.248,2.463463091,0.864094492,0.278506046,0,3.60606363,0
2009,14.681142,93.162891,2.09,2.970126371,0.272609339,0.133809908,0,3.376545618,0
2010,8.070675,92.547883,2.029,2.992806016,0.183705128,0.143788952,0,3.320300097,0
2011,6.837095,91.17554,2.663,3.241828524,1.053242736,0.241765021,0,4.53683628,0
2012,6.21606,107.627062,2.338,3.219602471,0.425923742,0.17780842,0,3.823334634,0
2013,8.181168,101.314314,2.943,1.729549764,0.829621431,0.137438652,0,2.696609847,0
2014,5.876268,113.828023,2.927,1.025119975,0.128366793,0.036287433,0,1.189774201,0
2015,4.153463,73.777225,3.587,2.211265433,0.125645236,0.034473061,0,2.371383731,0
2016,3.856902,64.558034,3.294,2.316952581,0.131088351,0.003628743,0.004535929,2.451669675,0
